Country,Region/State,"Zip/Postal Code","Weight (and above)","Shipping Price"
NGA,TA,*,0.5000,3400.0000
NGA,YO,*,0.0000,2700.0000
NGA,YO,*,0.5000,3400.0000
NGA,ZA,*,0.0000,2700.0000
NGA,ZA,*,0.5000,3400.0000
NIC,*,*,0.0000,27130.0000
NIC,*,*,0.5000,30652.0000
NLD,*,*,0.0000,15893.0000
NLD,*,*,0.5000,18386.0000
NOR,*,*,0.0000,15893.0000
NOR,*,*,0.5000,18386.0000
NPL,*,*,0.0000,21754.0000
NPL,*,*,0.5000,24959.0000
NZL,*,*,0.0000,21754.0000
NZL,*,*,0.5000,24959.0000
OMN,*,*,0.0000,19664.0000
OMN,*,*,0.5000,22829.0000
PAK,*,*,0.0000,21754.0000
PAK,*,*,0.5000,24959.0000
PAN,*,*,0.0000,27130.0000
PAN,*,*,0.5000,30652.0000
PER,*,*,0.0000,27130.0000
PER,*,*,0.5000,30652.0000
PHL,*,*,0.0000,21754.0000
PHL,*,*,0.5000,24959.0000
POL,*,*,0.0000,19664.0000
POL,*,*,0.5000,22829.0000
PRT,*,*,0.0000,15893.0000
PRT,*,*,0.5000,18386.0000
PRY,*,*,0.0000,27130.0000
PRY,*,*,0.5000,30652.0000
PYF,*,*,0.0000,27130.0000
PYF,*,*,0.5000,30652.0000
QAT,*,*,0.0000,19664.0000
QAT,*,*,0.5000,22829.0000
REU,*,*,0.0000,19602.0000
REU,*,*,0.5000,22617.0000
ROU,*,*,0.0000,19664.0000
ROU,*,*,0.5000,22829.0000
RUS,*,*,0.0000,19664.0000
RUS,*,*,0.5000,22829.0000
RWA,*,*,0.0000,19602.0000
RWA,*,*,0.5000,22617.0000
SAU,*,*,0.0000,19664.0000
SAU,*,*,0.5000,22829.0000
SEN,*,*,0.0000,13754.0000
SEN,*,*,0.5000,15891.0000
SGP,*,*,0.0000,21754.0000
SGP,*,*,0.5000,24959.0000
SLE,*,*,0.0000,13754.0000
SLE,*,*,0.5000,15891.0000
SLV,*,*,0.0000,27130.0000
SLV,*,*,0.5000,30652.0000
SMR,*,*,0.0000,15893.0000
SMR,*,*,0.5000,18386.0000
SRB,*,*,0.0000,19664.0000
SRB,*,*,0.5000,22829.0000
SUR,*,*,0.0000,27130.0000
SUR,*,*,0.5000,30652.0000
SVK,*,*,0.0000,19664.0000
SVK,*,*,0.5000,22829.0000
SVN,*,*,0.0000,19664.0000
SVN,*,*,0.5000,22829.0000
SWE,*,*,0.0000,15893.0000
SWE,*,*,0.5000,18386.0000
SWZ,*,*,0.0000,19602.0000
SWZ,*,*,0.5000,22617.0000
SYC,*,*,0.0000,19602.0000
SYC,*,*,0.5000,22617.0000
TCA,*,*,0.0000,27130.0000
TCA,*,*,0.5000,30652.0000
TCD,*,*,0.0000,13754.0000
TCD,*,*,0.5000,15891.0000
TGO,*,*,0.0000,13754.0000
TGO,*,*,0.5000,15891.0000
THA,*,*,0.0000,21754.0000
THA,*,*,0.5000,24959.0000
TTO,*,*,0.0000,27130.0000
TTO,*,*,0.5000,30652.0000
TUN,*,*,0.0000,19602.0000
TUN,*,*,0.5000,22617.0000
TUR,*,*,0.0000,15893.0000
TUR,*,*,0.5000,18386.0000
TWN,*,*,0.0000,21754.0000
TWN,*,*,0.5000,24959.0000
TZA,*,*,0.0000,19602.0000
TZA,*,*,0.5000,22617.0000
UGA,*,*,0.0000,19602.0000
UGA,*,*,0.5000,22617.0000
UKR,*,*,0.0000,19664.0000
UKR,*,*,0.5000,22829.0000
URY,*,*,0.0000,27130.0000
URY,*,*,0.5000,30652.0000
USA,*,*,0.0000,16409.0000
USA,*,*,0.5000,19053.0000
UZB,*,*,0.0000,19664.0000
UZB,*,*,0.5000,22829.0000
VEN,*,*,0.0000,27130.0000
VEN,*,*,0.5000,30652.0000
VGB,*,*,0.0000,27130.0000
VGB,*,*,0.5000,30652.0000
VIR,*,*,0.0000,27130.0000
VIR,*,*,0.5000,30652.0000
VNM,*,*,0.0000,21754.0000
VNM,*,*,0.5000,24959.0000
WSM,*,*,0.0000,27130.0000
WSM,*,*,0.5000,30652.0000
YEM,*,*,0.0000,19664.0000
YEM,*,*,0.5000,22829.0000
ZAF,*,*,0.0000,19602.0000
ZAF,*,*,0.5000,22617.0000
ZMB,*,*,0.0000,19602.0000
ZMB,*,*,0.5000,22617.0000
ZWE,*,*,0.0000,19602.0000
ZWE,*,*,0.5000,22617.0000
